NAME	CD4.memory.activated	Monocytes	CD4.memory.resting	NK.cells.resting	B.naive	Neutrophils	Macrophages.M2	Plasma	CD8.cells	T.cells.CD4.naive	B.memory	NK.activated	Eosinophils	T.cells.regulatory	T.cells.helper	Macrophages.M0	Macrophages.M1	Mast.activated	Dendritic.cells.resting	Dendritic.cells.activated	Mast.resting
AC018445.4	1	1	1	1	1	1	1	1	1	1	1	1	21.7933339995868	1	1	1	1	29.0755416044865	1	1	1
AC018521.2	1	1	1	1	1	1	1	1	1	1	1	1	14.3322120180606	1	1	1	1	1	1	1	1
AC018695.7	1	18.8550791678316	1	24.155393631701	1	41.3341365121924	1	1	1	39.6942297196598	1	27.6157598718309	1	1	1	1	1	1	1	1	1
AC018797.2	1	1	1	1	1	1	1	1	1	1	1	25.1616395277451	1	1	1	1	1	1	1	1	1
AC019080.4	1	1	1	1	1	1	1	1	1	1	1	47.7751626211934	1	1	1	1	1	1	1	1	1
AC020571.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26.0284955487868	1	1	1
AC020656.1	1	56.7280737187728	1	1	1	1	64.5790356847089	1	1	1	1	1	1	1	1	37.5594553260135	1	1	56.9302104194913	43.7040326039683	1
AC020741.1	1	18.3722846030419	1	22.154906760685	1	55.5571807853927	1	1	1	17.0510470926637	1	1	43.752952461038	1	1	1	1	1	1	1	1
AC020743.1	1	1	1	1	28.1948404063015	30.7863829415273	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC020907.3	1	21.561799940565	1	27.8132176292787	1	68.4577290221009	1	1	1	38.448867565695	1	1	1	1	1	1	1	1	1	1	1
AC020917.4	1	1	1	1	1	33.2220614467138	1	1	1	18.1209531064783	1	1	1	1	1	1	1	1	1	1	1
AC021016.2	1	1	1	24.6619463266376	1	1	1	1	1	23.1731598892697	1	1	1	1	1	1	1	1	1	1	1
AC021072.1	1	18.5824860547296	1	1	1	1	1	1	1	28.8466719743834	1	1	1	1	1	1	1	1	1	19.1185422838648	1
AC021087.3	1	1	1	1	1	44.754767166471	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC021851.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	39.6814185115603
AC022075.1	1	1	1	1	1	1	1	1	1	1	1	16.0729758571811	1	1	1	1	1	1	1	1	35.4674141257957
AC022107.1	1	1	1	17.2637764344644	1	41.7410819791998	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC022144.1	1	24.1422144933719	1	20.9560116336385	1	64.7493278542028	1	1	1	23.6590419347146	1	1	40.6963644982632	1	1	1	18.6976601404809	19.8564792594812	1	1	1
AC022150.2	1	1	1	1	1	1	1	1	1	41.1824496425496	1	1	1	1	1	1	1	1	1	1	1
AC022182.2	1	1	1	1	37.5140368099901	1	1	1	1	28.8317805284839	1	1	1	1	1	1	1	1	1	1	1
AC022497.1	1	1	1	1	1	1	25.7525296425674	1	1	1	1	1	1	1	1	19.2304140001163	1	1	1	1	1
AC022532.1	1	15.8305694781702	1	1	1	1	1	1	1	1	1	1	25.4274233833059	1	1	1	1	1	1	1	1
AC022540.1	1	18.8227631886164	1	26.9179128217822	1	1	15.0937292098001	1	1	27.6037846121974	1	18.408303945127	1	1	1	22.6384451359557	1	1	46.0490649214019	37.2299611944652	1
AC022706.1	1	1	1	38.7154439745495	1	1	1	1	44.2520950312473	1	1	45.6605560350601	1	1	1	1	1	1	1	1	1
AC022916.1	1	1	1	1	1	1	1	1	1	21.5356131694533	1	1	1	1	1	1	1	1	1	1	1
AC023157.3	1	23.0197767111187	1	1	1	180.838600407348	1	1	1	19.7129761419011	1	1	33.4213217749647	1	1	1	1	23.8409961901426	1	1	1
AC025164.2	1	19.598690411463	37.6363979868903	1	117.98412422128	1	1	1	39.4878660296221	1	46.8311138483731	1	35.8680031206694	44.2589023905031	42.740470270301	1	1	1	1	1	1
AC025262.2	1	22.3612745555621	1	1	1	48.6196775915868	1	1	1	1	1	1	30.8009314177158	1	1	1	1	14.2211145999327	1	1	1
AC025279.1	1	1	1	1	38.4688255406497	1	1	1	1	1	49.0176477229934	1	1	1	1	1	1	1	1	1	1
AC025419.1	1	27.1215136536774	1	27.3706051951227	1	45.6747248274161	1	1	26.0972871323989	34.836481687525	1	1	1	26.9838237872246	1	15.8729281022008	1	1	1	25.2861168376705	1
AC025569.1	1	14.7717173015384	1	1	1	33.6931382982337	1	1	1	1	1	1	30.151911551402	1	1	1	1	20.3424019324013	1	1	1
AC025678.3	1	1	1	21.7744478466551	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AC026401.3	19.3718130699931	1	1	1	1	1	1	1	1	1	1	34.7741692931693	1	1	24.4080123501728	1	45.3237242199727	16.6909577651823	1	1	1
AC026979.3	1	1	36.5675614187909	27.4807877059643	1	31.2554015841391	1	1	47.7415264062943	17.9093240430936	1	25.3729151194055	1	34.997204342135	26.0425426267205	1	1	1	1	1	1
AC027097.1	1	17.2082188608509	1	34.87078979322	76.3315486728709	1	1	1	1	37.8724225071531	43.8744886634096	1	23.294416546166	1	1	1	1	1	1	1	1
