NAME	CD8.cells	T.cells.regulatory	Myeloid.cells	CD4.cells	NK.cells	B.cells	Mural.cells	Endothelial	Fibroblasts	Plasma	T.cells.helper	Cancer	T.cells.proliferative	Mast.cells
AC104699.1	1	1	1	1	1	35.5546729225452	1	1	1	105.48534039889	1	1	1	1
AC105020.6	1	1	1	1	19.5269188497711	1	1	1	1	1	1	1	1	1
AC119396.1	1	1	1	18.8891834484148	23.4427644732419	66.6411056631853	1	1	1	1	1	1	1	1
AC120193.1	1	1	1	1	1	38.8060528618297	1	1	1	1	1	1	1	1
AC124016.1	1	1	1	1	34.2307903417698	1	1	1	1	1	1	1	1	1
AC129507.4	1	1	1	1	1	1	1	1	1	1	1	67.456932423611	1	1
AC133644.2	1	34.2573864443082	1	1	1	1	1	1	1	1	1	1	1	1
AC136475.1	1	1	1	1	25.0010336512009	1	1	1	1	1	1	1	1	1
AC139530.1	1	1	1	1	17.6260819580707	1	1	1	1	1	1	1	1	1
AC139720.1	1	1	1	1	1	1	1	1	1	1	16.1732876212274	1	1	1
AC233755.1	1	1	1	1	1	1	1	1	1	69.1276495235926	1	1	1	1
AC239799.2	1	1	28.8347256920132	1	1	1	1	1	1	47.9420710152019	1	15.7550607677862	17.2285124062277	1
AC243829.1	16.4707412195503	1	1	1	22.2235357425141	1	1	1	1	1	1	1	1	1
AC243829.4	43.1467975751768	1	1	1	1	1	1	1	1	1	44.3086146973431	1	44.5916394442219	1
ACAN	1	1	1	1	1	1	50.1944026569073	1	1	1	1	1	1	1
ACAP1	247.131744156708	204.850253932802	43.7054824428503	259.328750180735	201.146766428303	158.951420001746	1	21.2933717165064	1	87.5130187534201	190.594989262287	1	154.953324149266	38.3598381381085
ACE	1	1	31.1816810140574	1	1	1	1	467.291131985683	1	1	1	1	1	1
ACER3	1	1	50.5197092791334	1	14.3475115055464	1	15.913056530159	38.0086987780934	15.7967797036874	1	1	1	13.9313926718885	68.132998824925
ACKR1	1	1	1	1	1	1	1	179.898357073798	1	1	1	1	1	1
ACOT7	13.9595829995505	1	51.7538262629765	1	1	1	1	1	19.2553755417467	1	22.6163865660227	17.456048561624	103.770154125061	76.2901437539832
ACOX3	1	24.9092983109084	1	1	1	1	1	1	1	15.4900216440176	24.6619708697094	25.9182878949341	16.8965162489784	1
ACP6	1	21.3821444735989	1	1	1	1	1	1	1	1	1	33.1890623912217	1	1
ACSF2	1	1	12.897899696803	1	1	1	1	1	1	1	1	81.7084075646037	1	1
